Gene_ID,Gene_Name,Nutrient,Impact_on_Gene,Interaction_Type,Expression_Level,Daily_Intake_mg,Risk_Score,Population
GENE8484,GPX1,Omega-3,Downregulation,Reduces,High,78.84,3.77,Caucasian
GENE5949,SOD2,Omega-3,No effect,Enhances,High,6.78,8.35,Asian
GENE4263,GPX1,Folate,Downregulation,Enhances,Variable,52.28,5.7,African American
GENE7302,APOA1,Omega-3,No effect,Reduces,High,67.02,0.21,Asian
GENE8916,APOA1,Selenium,Upregulation,Enhances,Moderate,5.08,0.23,African American
GENE2747,APOA1,Selenium,No effect,Enhances,Moderate,8.59,5.59,Asian
GENE4886,MTHFR,Omega-3,Upregulation,Neutral,Moderate,42.1,6.12,Caucasian
GENE7248,TCF7L2,Zinc,Upregulation,Neutral,Variable,19.4,2.29,African American
GENE6881,SOD2,Folate,Downregulation,Neutral,Moderate,36.33,0.89,Asian
GENE5847,GPX1,Selenium,Downregulation,Reduces,Moderate,42.18,4.62,General
GENE5837,SOD2,Selenium,No effect,Reduces,High,5.35,2.62,Asian
GENE1359,MTHFR,Selenium,Downregulation,Reduces,Variable,72.22,8.52,Caucasian
GENE7484,GPX1,Vitamin D,Upregulation,Enhances,Variable,78.24,0.5,General
GENE5497,GPX1,Vitamin D,Downregulation,Neutral,Moderate,50.42,6.18,Caucasian
GENE1132,MTHFR,Selenium,No effect,Neutral,Variable,43.37,6.0,Asian
GENE1803,TCF7L2,Zinc,No effect,Reduces,High,74.14,1.49,General
GENE9138,GPX1,Folate,Downregulation,Reduces,High,82.17,9.58,African American
GENE5689,TCF7L2,Folate,Downregulation,Reduces,Variable,11.66,1.7,General
GENE4770,MTHFR,Selenium,Upregulation,Reduces,Moderate,26.46,5.67,General
GENE6772,SOD2,Selenium,Downregulation,Reduces,Variable,41.52,0.14,Asian
GENE4588,GPX1,Folate,No effect,Reduces,High,70.48,5.26,African American
GENE4115,TCF7L2,Zinc,No effect,Reduces,Moderate,79.08,7.73,African American
GENE5106,GPX1,Vitamin D,Upregulation,Neutral,Variable,16.51,9.28,General
GENE3240,TCF7L2,Vitamin D,Downregulation,Enhances,High,55.85,8.27,General
GENE2591,GPX1,Selenium,Upregulation,Enhances,Variable,99.2,4.94,General
GENE1645,GPX1,Folate,Downregulation,Neutral,Variable,36.68,2.24,African American
